cell_id,row_index,cell_type
10093173155650,228,mPDAC
10093173155700,229,mPDAC
10093173155750,230,mPDAC
10093173155800,231,Tregs
10093173155850,232,mPDAC
10093173155900,233,ePDAC
10093173155950,234,M2 Macrophage
10093173156000,235,apCAFs
10093173156050,236,mPDAC
10093173156100,237,Endothelial cells
10093173156150,238,myCAFs
10093173156200,239,Endothelial cells
10093173156250,240,apCAFs
10093173156300,241,mPDAC
10093173156350,242,apCAFs
10093173156400,243,apCAFs
10093173156450,244,mPDAC
10093173156500,245,Endothelial cells
10093173156550,246,mPDAC
10093173156600,247,mPDAC
10093173156650,248,apCAFs
10093173156700,249,mPDAC
10093173156750,250,M2 Macrophage
10093173156800,251,mPDAC
10093173156850,252,apCAFs
10093173156900,253,iCAF
10093173156950,254,mPDAC
10093173157000,255,mPDAC
10093173157050,256,mPDAC
10093173157100,257,mPDAC
10093173157150,258,mPDAC
10093173157200,259,mPDAC
10093173157250,260,mPDAC
10093173157300,261,B cells
10093173157350,262,mPDAC
10093173157400,263,M2 Macrophage
10093173157450,264,mPDAC
10093173157500,265,ePDAC
10093173157550,266,mPDAC
10093173157600,267,mPDAC
10093173158000,268,mPDAC
10093173158050,269,ePDAC
10093173158100,270,mPDAC
10093173158150,271,mPDAC
10093173158200,272,mPDAC
10093173158250,273,mPDAC
10093173158300,274,mPDAC
10093173158350,275,mPDAC
10093173158550,276,mPDAC
10093173158600,277,apCAFs
10093173158650,278,mPDAC
10093173158700,279,mPDAC
10093173158750,280,mPDAC
10093173158800,281,mPDAC
10093173158850,282,mPDAC
10093173158900,283,mPDAC
10093173159050,284,mPDAC
10093173159200,285,apCAFs
10093173159250,286,mPDAC
10093173159300,287,apCAFs
10093173159350,288,ePDAC
10093173159600,289,mPDAC
10307921510950,290,apCAFs
10307921511000,291,mPDAC
10307921511050,292,mPDAC
10307921511100,293,mPDAC
10307921511150,294,mPDAC
10307921511200,295,mPDAC
10307921511250,296,ePDAC
10307921511300,297,ePDAC
10307921511350,298,ePDAC
10307921511400,299,ePDAC
10307921511450,300,mPDAC
10307921511500,301,mPDAC
10307921511550,302,mPDAC
10307921511600,303,ePDAC
10307921511650,304,Tregs
10307921511700,305,mPDAC
10307921511750,306,mPDAC
10307921511800,307,B cells
10307921511850,308,ePDAC
10307921511900,309,mPDAC
10307921511950,310,mPDAC
10307921512000,311,ePDAC
10307921512050,312,ePDAC
10307921512100,313,mPDAC
10307921512150,314,mPDAC
10307921512200,315,mPDAC
10307921512250,316,mPDAC
10307921512300,317,M2 Macrophage
10307921512350,318,mPDAC
10307921512400,319,myCAFs
10307921512450,320,ePDAC
10307921512500,321,mPDAC
10307921512550,322,mPDAC
10307921512600,323,ePDAC
10307921512650,324,apCAFs
10307921512700,325,CD4 T cells
10307921512750,326,myCAFs
